baseline,arm,variable,level,lead,spread,spread_rms,crps,n_inits
aifs,ic,u_component_of_wind,850,6,0.6669089,0.75916964,0.60508983,112
aifs,weight+ic,u_component_of_wind,850,6,0.68904701,0.77522728,0.60051403,112
aifs,weight,u_component_of_wind,850,24,0.43649065,0.4792028,0.72629729,112
aifs,ic,u_component_of_wind,850,24,0.61917445,0.75430801,0.78689891,112
aifs,weight+ic,u_component_of_wind,850,24,0.76924581,0.89115801,0.75501253,112
aifs,weight,u_component_of_wind,850,72,1.2360471,1.4681692,1.1137014,112
aifs,ic,u_component_of_wind,850,72,1.0535305,1.4680899,1.2202537,112
aifs,weight+ic,u_component_of_wind,850,72,1.6186039,1.9805666,1.1355833,112
aifs,weight,u_component_of_wind,850,120,2.1791852,2.6089896,1.5497266,112
aifs,ic,u_component_of_wind,850,120,1.6318738,2.2468045,1.7116788,112
aifs,weight+ic,u_component_of_wind,850,120,2.568311,3.0918936,1.5985604,112
aifs,weight,u_component_of_wind,850,240,4.1881798,4.8180687,2.4888925,112
aifs,ic,u_component_of_wind,850,240,3.2159623,4.0311912,2.5918566,112
aifs,weight+ic,u_component_of_wind,850,240,4.3590798,5.0035717,2.5100092,112
aifs,weight,v_component_of_wind,500,6,0.20546622,0.22026192,0.40279618,112
aifs,ic,v_component_of_wind,500,6,0.77336675,0.85882525,0.72179193,112
aifs,weight+ic,v_component_of_wind,500,6,0.8044136,0.88681889,0.71665929,112
aifs,weight,v_component_of_wind,500,24,0.61014522,0.67125508,0.9261181,112
aifs,ic,v_component_of_wind,500,24,0.85982101,1.0261841,1.0069811,112
aifs,weight+ic,v_component_of_wind,500,24,1.0828701,1.2373832,0.96604858,112
aifs,weight,v_component_of_wind,500,72,1.7653703,2.1111192,1.4901601,112
aifs,ic,v_component_of_wind,500,72,1.4952653,2.0414519,1.6285543,112
aifs,weight+ic,v_component_of_wind,500,72,2.3291527,2.8325537,1.5219005,112
aifs,weight,v_component_of_wind,500,120,3.1343565,3.7894263,2.1394465,112
aifs,ic,v_component_of_wind,500,120,2.2999411,3.174814,2.3458693,112
aifs,weight+ic,v_component_of_wind,500,120,3.687635,4.4875383,2.2022723,112
aifs,weight,v_component_of_wind,500,240,5.9625635,7.1393428,3.5409851,112
aifs,ic,v_component_of_wind,500,240,4.65683,5.9940847,3.7409448,112
aifs,weight+ic,v_component_of_wind,500,240,6.2325195,7.4382627,3.5679494,112
aifs,weight,v_component_of_wind,850,6,0.14776511,0.16133648,0.35945641,112
aifs,ic,v_component_of_wind,850,6,0.65694749,0.74757384,0.59975198,112
aifs,weight+ic,v_component_of_wind,850,6,0.67824409,0.7641266,0.59603389,112
aifs,weight,v_component_of_wind,850,24,0.41319529,0.46657795,0.73644561,112
aifs,ic,v_component_of_wind,850,24,0.60707084,0.74697549,0.77837732,112
aifs,weight+ic,v_component_of_wind,850,24,0.74846897,0.88203311,0.75135994,112
aifs,weight,v_component_of_wind,850,72,1.1621771,1.4460865,1.1121386,112
aifs,ic,v_component_of_wind,850,72,1.031828,1.4715119,1.2004892,112
aifs,weight+ic,v_component_of_wind,850,72,1.547832,1.9716292,1.1277808,112
aifs,weight,v_component_of_wind,850,120,2.0807106,2.6181044,1.5510622,112
aifs,ic,v_component_of_wind,850,120,1.6069711,2.2675564,1.6893687,112
aifs,weight+ic,v_component_of_wind,850,120,2.4711471,3.1116506,1.5870892,112
aifs,weight,v_component_of_wind,850,240,3.9402174,4.7702968,2.413706,112
aifs,ic,v_component_of_wind,850,240,3.1382477,4.0839896,2.5274915,112
aifs,weight+ic,v_component_of_wind,850,240,4.1038412,4.9464923,2.4197272,112
aifs,weight,specific_humidity,500,6,2.870434e-05,3.0073561e-05,7.3174976e-05,112
aifs,ic,specific_humidity,500,6,0.00011617134,0.00017246768,0.00011051748,112
aifs,weight+ic,specific_humidity,500,6,0.00012458549,0.00017517326,0.0001096688,112
aifs,weight,specific_humidity,500,24,0.00010321627,0.00011798115,0.00015409101,112
aifs,ic,specific_humidity,500,24,0.00011240397,0.00016316418,0.00016506444,112
aifs,weight+ic,specific_humidity,500,24,0.00016046464,0.00020159615,0.0001576747,112
aifs,weight,specific_humidity,500,72,0.00025641583,0.00031225173,0.0002137674,112
